experiment,run,ceiling,timestamp,valid,retries,latency_ms,outcome,tags,summary
ceiling10,1,10,2026-09-11T14:23:11,True,0,96004,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,2,10,2026-09-11T14:24:47,True,0,97086,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,3,10,2026-09-11T14:26:24,True,0,99963,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,4,10,2026-09-11T14:28:04,True,0,101642,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,5,10,2026-09-11T14:29:46,True,0,101217,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,6,10,2026-09-11T14:31:27,True,0,99923,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,7,10,2026-09-11T14:33:07,True,0,93697,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,8,10,2026-09-11T14:34:41,True,0,94453,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,9,10,2026-09-11T14:36:15,True,0,93654,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,10,10,2026-09-11T14:37:49,True,0,117264,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,11,10,2026-09-11T14:39:46,True,0,115940,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,12,10,2026-09-11T14:41:42,True,0,93756,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,13,10,2026-09-11T14:43:16,True,0,93645,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,14,10,2026-09-11T14:44:50,True,0,104437,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,15,10,2026-09-11T14:46:34,True,0,98905,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,16,10,2026-09-11T14:48:13,True,0,98654,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,17,10,2026-09-11T14:49:52,True,0,106250,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,18,10,2026-09-11T14:51:38,True,0,103053,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,19,10,2026-09-11T14:53:21,True,0,102543,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
ceiling10,20,10,2026-09-11T14:55:03,True,0,109565,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
