experiment,run,ceiling,timestamp,valid,retries,latency_ms,outcome,tags,summary
schema30,1,10,2026-09-11T12:44:31,True,0,209854,valid_first_attempt,spartansoccer | mountainwestsoccer | fresnostate,San Jose State and Fresno State play in a Mountain West Conference soccer match at the Spartan Soccer Complex.
schema30,2,10,2026-09-11T12:48:01,True,0,117006,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,3,10,2026-09-11T12:49:58,True,0,109812,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,4,10,2026-09-11T12:51:48,True,0,95399,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,5,10,2026-09-11T12:53:23,True,0,95721,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,6,10,2026-09-11T12:54:59,True,0,155636,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,7,10,2026-09-11T12:57:35,True,0,139496,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,8,10,2026-09-11T12:59:54,True,0,173950,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,9,10,2026-09-11T13:02:48,True,0,116821,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,10,10,2026-09-11T13:04:45,True,0,115709,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,11,10,2026-09-11T13:06:41,True,0,111057,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,12,10,2026-09-11T13:08:32,True,0,104937,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,13,10,2026-09-11T13:10:17,True,0,99060,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,14,10,2026-09-11T13:11:56,True,0,94454,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,15,10,2026-09-11T13:13:30,True,0,103251,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,16,10,2026-09-11T13:15:14,True,0,121355,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,17,10,2026-09-11T13:17:15,True,0,122042,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,18,10,2026-09-11T13:19:17,True,0,131502,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,19,10,2026-09-11T13:21:28,True,0,142131,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,20,10,2026-09-11T13:23:51,True,0,96738,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,21,10,2026-09-11T13:25:27,True,0,94585,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
schema30,22,10,2026-09-11T13:27:02,True,0,99522,valid_first_attempt,spartansbulldogs | mountainwestsoccer | spartansoccercomplex,San Jose State and Fresno State face off in a Mountain West soccer match at the Spartan Soccer Complex this Saturday.
